VOV_V,N_ids_A,N_gm_S,N_gds_S,N_gm_over_Id,P_abs_ids_A,P_gm_S,P_gm_over_Id
0.05,1.375e-06,5.5e-05,1.249999999999999e-07,40.0,1.375e-06,5.5e-05,40.0
0.055,1.66375e-06,6.05e-05,1.5125e-07,36.36363636363637,1.663749999999993e-06,6.049999999999988e-05,36.363636363636445
0.06,1.98e-06,6.6e-05,1.8e-07,33.333333333333336,1.98e-06,6.6e-05,33.333333333333336
0.065,2.323750000000001e-06,7.150000000000002e-05,2.112500000000001e-07,30.769230769230766,2.323749999999992e-06,7.149999999999988e-05,30.769230769230823
0.07,2.695000000000001e-06,7.700000000000001e-05,2.450000000000001e-07,28.57142857142857,2.695000000000001e-06,7.700000000000001e-05,28.57142857142857
0.07500000000000001,3.093750000000001e-06,8.250000000000001e-05,2.812500000000001e-07,26.66666666666666,3.093749999999992e-06,8.249999999999989e-05,26.6666666666667
0.08000000000000002,3.520000000000002e-06,8.800000000000002e-05,3.200000000000002e-07,24.999999999999993,3.520000000000002e-06,8.800000000000002e-05,24.999999999999993
0.08500000000000002,3.973750000000002e-06,9.350000000000002e-05,3.612500000000002e-07,23.529411764705873,3.973749999999992e-06,9.349999999999991e-05,23.529411764705905
0.09000000000000002,4.455000000000003e-06,9.900000000000005e-05,4.050000000000003e-07,22.222222222222218,4.455000000000003e-06,9.900000000000005e-05,22.222222222222218
0.09500000000000003,4.963750000000004e-06,0.0001045,4.512500000000003e-07,21.052631578947352,4.963749999999992e-06,0.0001044999999999999,21.05263157894738
0.1,5.500000000000004e-06,0.00011,5.000000000000003e-07,19.999999999999986,5.500000000000004e-06,0.00011,19.999999999999986
0.105,6.063750000000005e-06,0.0001155000000000001,5.512500000000004e-07,19.047619047619047,6.063749999999992e-06,0.0001154999999999999,19.047619047619055
0.11,6.655000000000006e-06,0.0001210000000000001,6.050000000000006e-07,18.18181818181818,6.655000000000006e-06,0.0001210000000000001,18.18181818181818
0.115,7.273750000000006e-06,0.0001265000000000001,6.612500000000006e-07,17.391304347826086,7.273749999999993e-06,0.0001264999999999999,17.39130434782609
0.1200000000000001,7.920000000000007e-06,0.0001320000000000001,7.200000000000007e-07,16.666666666666664,7.920000000000007e-06,0.0001320000000000001,16.666666666666664
0.1250000000000001,8.593750000000009e-06,0.0001375000000000001,7.812500000000008e-07,15.999999999999993,8.593749999999994e-06,0.0001375,16.000000000000014
0.1300000000000001,9.29500000000001e-06,0.0001430000000000001,8.450000000000009e-07,15.384615384615378,9.29500000000001e-06,0.0001430000000000001,15.384615384615378
0.1350000000000001,1.002375000000001e-05,0.0001485000000000001,9.112500000000008e-07,14.814814814814811,1.002374999999999e-05,0.0001485,14.814814814814829
0.1400000000000001,1.078000000000001e-05,0.0001540000000000001,9.80000000000001e-07,14.285714285714283,1.078000000000001e-05,0.0001540000000000001,14.285714285714283
0.1450000000000001,1.156375000000001e-05,0.0001595000000000001,1.051250000000001e-06,13.793103448275861,1.156375e-05,0.0001595,13.793103448275863
0.1500000000000001,1.237500000000001e-05,0.0001650000000000001,1.125000000000001e-06,13.333333333333332,1.237500000000001e-05,0.0001650000000000001,13.333333333333332
0.1550000000000001,1.321375000000002e-05,0.0001705000000000001,1.201250000000001e-06,12.903225806451601,1.321375e-05,0.0001705,12.903225806451612
0.1600000000000001,1.408000000000002e-05,0.0001760000000000001,1.280000000000002e-06,12.49999999999999,1.408000000000002e-05,0.0001760000000000001,12.49999999999999
0.1650000000000001,1.497375000000002e-05,0.0001815000000000001,1.361250000000002e-06,12.12121212121211,1.497375e-05,0.0001815,12.121212121212121
0.1700000000000001,1.589500000000002e-05,0.0001870000000000001,1.445000000000002e-06,11.764705882352933,1.589500000000002e-05,0.0001870000000000001,11.764705882352933
0.1750000000000001,1.684375000000002e-05,0.0001925000000000001,1.531250000000002e-06,11.428571428571422,1.684375e-05,0.0001925,11.428571428571429
0.1800000000000001,1.782000000000003e-05,0.0001980000000000002,1.620000000000002e-06,11.111111111111104,1.782000000000003e-05,0.0001980000000000002,11.111111111111104
0.1850000000000001,1.882375000000002e-05,0.0002035000000000001,1.711250000000002e-06,10.810810810810803,1.882375e-05,0.0002035,10.81081081081081
0.1900000000000001,1.985500000000003e-05,0.0002090000000000001,1.805000000000002e-06,10.526315789473673,1.985500000000003e-05,0.0002090000000000001,10.526315789473673
0.1950000000000001,2.091375000000003e-05,0.0002145000000000002,1.901250000000003e-06,10.256410256410252,2.091375e-05,0.0002145,10.256410256410257
0.2000000000000001,2.200000000000003e-05,0.0002200000000000001,2.000000000000002e-06,9.999999999999991,2.200000000000003e-05,0.0002200000000000001,9.999999999999991
0.2050000000000001,2.311375000000003e-05,0.0002255000000000002,2.101250000000003e-06,9.756097560975606,2.311375000000001e-05,0.0002255,9.756097560975606
