frequency_Hz,spectre_real,spectre_imag,derived_real,derived_imag,relative_error
1.0,-10100.0,1.00459,-10099.999900142508,1.0045903715847435,9.886948934577392e-09
1.039122303835169,-10100.0,1.04389,-10099.999892176358,1.0438922605089438,1.0677954009595202e-08
1.07977516232771,-10100.0,1.08473,-10099.999883574712,1.0847317297725345,1.1528528510792628e-08
1.122018454301963,-10100.0,1.12717,-10099.999874286865,1.1271689330484702,1.2447293434409906e-08
1.165914401179831,-10100.0,1.17127,-10099.999864258081,1.1712663773584873,1.3444579309863747e-08
1.211527658628588,-10100.0,1.21709,-10099.999853429246,1.2170890151413372,1.4512283518713205e-08
1.258925411794167,-10100.0,1.2647,-10099.999841736542,1.2647043399229347,1.567553987662881e-08
1.308177474260194,-10100.0,1.31418,-10099.999829111048,1.3141824857293085,1.6921488241614123e-08
1.359356390878525,-10100.0,1.3656,-10099.999815478355,1.365596330388797,1.8273082367988343e-08
1.412537544622754,-10100.0,1.41902,-10099.99980075811,1.4190216028756213,1.972755827739693e-08
1.467799267622069,-10100.0,1.47454,-10099.999784863558,1.4745369948529596,2.1302716087186628e-08
1.525222956539018,-10100.0,1.53222,-10099.999767701014,1.5322242765797993,2.3003797092622428e-08
1.584893192461112,-10100.0,1.59217,-10099.999749169323,1.5921684173522888,2.4835215153743977e-08
1.646897865482867,-10100.0,1.65446,-10099.999729159268,1.6544577106569887,2.6816872371656435e-08
1.71132830416178,-10100.0,1.71918,-10099.999707552903,1.7191839042203338,2.8957738751886133e-08
1.778279410038921,-10100.0,1.78644,-10099.99968422289,1.786442335145889,3.126591571406994e-08
1.847849797422289,-10100.0,1.85633,-10099.999659031722,1.856332070338402,3.375985830166191e-08
1.9201419386388,-10100.0,1.92896,-10099.999631830924,1.9289560524214868,3.6454479742091594e-08
1.995262314968878,-10100.0,2.00442,-10099.999602460175,2.004421251363868,3.9360574478545624e-08
2.073321573485953,-10100.0,2.08284,-10099.999570746373,2.0828388220374787,4.2500520026133736e-08
2.154434690031881,-10100.0,2.16432,-10099.999536502597,2.1643242679394965,4.589277851705367e-08
2.238721138568337,-10100.0,2.249,-10099.999499527019,2.2489976113194254,4.955234591727859e-08
2.326305067153623,-10100.0,2.33698,-10099.999459601708,2.3369835699618067,5.3505950345539964e-08
2.417315480804101,-10100.0,2.42841,-10099.999416491351,2.4284117408849233,5.7773392311388485e-08
2.511886431509577,-10100.0,2.52342,-10099.999369941854,2.523416791226031,6.238280561537087e-08
2.610157215682533,-10100.0,2.62214,-10099.999319678867,2.6221386565942764,6.735866158033109e-08
2.712272579332024,-10100.0,2.72472,-10099.999265406143,2.724722747183408,7.273257633961966e-08
2.818382931264449,-10100.0,2.83132,-10099.999206803805,2.8313201619478363,7.853428149552274e-08
2.928644564625232,-10100.0,2.94209,-10099.999143526455,2.942087911157488,8.479961671959656e-08
3.043219887107717,-10100.0,3.05719,-10099.999075201144,3.0571891476591904,9.156428628944113e-08
3.162277660168374,-10100.0,3.17679,-10099.99900142517,3.1767934071851935,9.886937537995651e-08
3.285993247600648,-10100.0,3.30108,-10099.99892176371,3.3010768580627055,1.0675652722117512e-07
3.414548873833595,-10100.0,3.43022,-10099.998835747247,3.4302225606922225,1.1527283529289325e-07
3.548133892335747,-10100.0,3.56442,-10099.998742868804,3.5644207371767034,1.2446846442091305e-07
3.686945064519568,-10100.0,3.70387,-10099.998642580973,3.703869051498759,1.3439796530575093e-07
3.83118684955728,-10100.0,3.84877,-10099.998534292667,3.8487729006583407,1.4511983266486355e-07
3.981071705534964,-10100.0,3.99935,-10099.998417365645,3.99934571719973,1.566970568258484e-07
4.136820402388498,-10100.0,4.15581,-10099.998291110753,4.155809283573286,1.6919698435291077e-07
4.298662347082267,-10100.0,4.31839,-10099.998154783862,4.318394058794862,1.8269512582497225e-07
4.466835921509621,-10100.0,4.48734,-10099.998007581475,4.487339517883886,1.9726918614451674e-07
4.641588833612769,-10100.0,4.66289,-10099.997848635998,4.662894504579942,2.1300682644358737e-07
4.823178482239296,-10100.0,4.84532,-10099.997677010624,4.845317597857184,2.2999909751161214e-07
5.011872336272711,-10100.0,5.03488,-10099.997491693814,5.034877492776213,2.4834730205605053e-07
