time_s,spectre,derived_finite_rise_step,absolute_error
0.0,0.0,0.0,0.0
1e-07,0.0,0.0,0.0
2e-07,0.0,0.0,0.0
3e-07,0.0,0.0,0.0
4e-07,0.0,0.0,0.0
5e-07,0.0,0.0,0.0
6e-07,0.0,0.0,0.0
7e-07,0.0,0.0,0.0
8e-07,0.0,0.0,0.0
9e-07,0.0,0.0,0.0
1e-06,0.0,0.0,0.0
1.000003949821887e-06,9.802210093899586e-08,4.901186946310726e-08,4.9010231475888604e-08
1.000007456631827e-06,2.376012467825779e-07,1.746740632656285e-07,6.292718351694939e-08
1.000008849962505e-06,3.102015855049694e-07,2.4605069940189517e-07,6.415088610307421e-08
1.000010360253689e-06,4.01799313893305e-07,3.3719500683489223e-07,6.460430705841276e-08
1.000012103839827e-06,5.250272015568863e-07,4.602407715458001e-07,6.478643001108619e-08
1.000014412256749e-06,7.174034399302686e-07,6.525301954104362e-07,6.487324451983242e-08
1.000018092003818e-06,1.093193289931446e-06,1.028268646119379e-06,6.492464381206693e-08
1.000024481020928e-06,1.947679028029917e-06,1.882723021481153e-06,6.495600654876394e-08
1.000036681124661e-06,4.291665961388974e-06,4.226700360501767e-06,6.496560088720683e-08
1.000061081332125e-06,1.178442564168733e-05,1.1719545254224029e-05,6.488038746330088e-08
1.000108834060216e-06,3.726728132638843e-05,3.720313667536501e-05,6.414465102341646e-08
1.000148658734034e-06,6.946885359326768e-05,6.940554578654945e-05,6.33078067182268e-08
1.000186627355421e-06,0.0001094403001325491,0.00010937776447356162,6.25356589874763e-08
1.000224850704827e-06,0.0001588183917519122,0.0001587566177756461,6.177397626611872e-08
1.000262280311495e-06,0.0002160543748418482,0.00021599332795507742,6.104688677079063e-08
1.000299684439984e-06,0.0002820303883472131,0.0002819700562544658,6.033209274731348e-08
1.000337238504727e-06,0.0003570976016852911,0.00035703798571767864,5.96159676124813e-08
1.000374894744241e-06,0.0004412474495703698,0.00044118855379116084,5.8895779208938907e-08
1.000412687741919e-06,0.0005346397192036652,0.0005345815499319673,5.816927169794133e-08
1.000450614352364e-06,0.0006373605508327382,0.0006373031150478381,5.743578490005792e-08
1.000488671586137e-06,0.0007494938687691615,0.0007494371735948246,5.6695174336838204e-08
1.00052686772107e-06,0.0008711582636718457,0.0008711023166263487,5.5947045496927174e-08
1.000565211597361e-06,0.001002482542484135,0.0010024273515947257,5.519088940920437e-08
1.000603713204027e-06,0.001143608695331107,0.0011435542692338485,5.4426097258588116e-08
1.000642383107882e-06,0.001294691064116142,0.001294637412108779,5.365200736310617e-08
1.000681231594233e-06,0.001455893469898737,0.0014558406019692383,5.286792949883885e-08
1.000720268760423e-06,0.001627389399425161,0.0016273373262586377,5.207316652335557e-08
1.000759504549831e-06,0.001809362047698974,0.0018093107806784747,5.1267020499288704e-08
1.000798948764663e-06,0.002002004307565116,0.0020019538588001984,5.044876491772446e-08
1.000838611101729e-06,0.002205518902355996,0.0022054692846664725,4.961768952345749e-08
1.000878501161549e-06,0.002420118428249258,0.0024200696552028056,4.877304645226066e-08
1.00091862844825e-06,0.002646025360964935,0.002645977446883885,4.7914081049982293e-08
1.000959002368253e-06,0.002883472058532393,0.0028834250184930355,4.7040039357661156e-08
1.000979501184127e-06,0.00300792620994248,0.003007879412647463,4.6797295016973856e-08
1.001e-06,0.003135004286459386,0.003134957649966741,4.663649264512182e-08
1.001000716883561e-06,0.003139494316043931,0.0031394476899742063,4.6626069724782504e-08
1.001002150650684e-06,0.003148474326189117,0.0031484277087167056,4.6617472411383115e-08
1.001003800753575e-06,0.003158809201538635,0.0031587625878306547,4.661370798034192e-08
1.001007100959358e-06,0.003179478631507366,0.003179432021398698,4.661010866765375e-08
1.001013701370923e-06,0.003220816195973452,0.0032207695899028055,4.6606070646434267e-08
1.001026902194053e-06,0.003303486133240956,0.0033034395326544397,4.660058651635712e-08
1.001053303840313e-06,0.003468805235382186,0.003468758643170422,4.6592211764076574e-08
1.001106107132834e-06,0.003799360362204866,0.0037993137804955834,4.658170928237976e-08
1.001211713717875e-06,0.004460138449273065,0.004460091850176706,4.65990963585336e-08
1.001422926887957e-06,0.005780367139317186,0.005780320208205514,4.69311116722132e-08
1.001670088922438e-06,0.007323056287550435,0.007323008506609274,4.778094116111159e-08
1.001919523512931e-06,0.008877478845834582,0.00887742996903329,4.8876801292049854e-08
1.002175334770782e-06,0.0104690859171085,0.010469035799543724,5.011756477532603e-08
1.002435283912567e-06,0.01208379351240521,0.012083742062223846,5.145018136358537e-08
1.002699750714892e-06,0.01372383194617514,0.013723779085137,5.2861038140478156e-08
1.002970145515657e-06,0.01539778844091337,0.015397734077697067,5.436321630358787e-08
1.003246698873568e-06,0.0171069026353199,0.017106846668392905,5.596692699560979e-08
1.003529452563416e-06,0.01885123689751679,0.018851179218358327,5.7679158463330715e-08
1.003818349557487e-06,0.02063024009793385,0.020630180593369296,5.950456455350306e-08
1.004113244030332e-06,0.02244281467766873,0.02244275323195488,6.144571384689157e-08
1.004414004598243e-06,0.02428795477274595,0.024287891268333972,6.350441197899848e-08
1.004720518005305e-06,0.02616476824459062,0.026164702562264663,6.568232595663415e-08
1.005032682982044e-06,0.02807243839212758,0.028072370411055814,6.798107176492207e-08
1.005350409137218e-06,0.03001021672160629,0.030010146319286224,7.040232006746971e-08
1.005673612718632e-06,0.03197739672142003,0.031977323773697997,7.294772203653155e-08
1.006002214517465e-06,0.03397330092942601,0.03397322531052538,7.561890063428889e-08
1.006336139217836e-06,0.03599727688960298,0.03599719847218663,7.841741635206123e-08
1.006675314989189e-06,0.0380486946103632,0.03804861326558384,8.134477935684004e-08
1.007019673293806e-06,0.04012694533803478,0.040126860935611686,8.440242309226687e-08
1.007369148735681e-06,0.04223144058222792,0.04223135299048697,8.759174095068767e-08
1.007723678884079e-06,0.04436161098998864,0.044361520075926086,9.091406255601342e-08
1.008083204092963e-06,0.04651690519902688,0.046516810828356236,9.437067064604898e-08
1.008447667323941e-06,0.04869678871702907,0.048696690754254535,9.796277453816282e-08
1.008817013981011e-06,0.05090074287708368,0.05090064118551518,1.0169156849926253e-07
1.009191191755568e-06,0.05312826385960439,0.05312815830143702,1.0555816736673718e-07
1.009570150490456e-06,0.05537886183285327,0.05537875226920619,1.0956364707853661e-07
1.009953842053605e-06,0.05765206015472934,0.05765194644567717,1.1370905216717686e-07
1.010342220219134e-06,0.05994739462299782,0.05994727662764032,1.1799535749867918e-07
1.010735240561072e-06,0.0622644128042185,0.062264290380711906,1.2242350659608103e-07
1.011132860357246e-06,0.06460267342606649,0.06460254643167063,1.269943958603914e-07
1.011535038498887e-06,0.06696174580649475,0.06696161409760693,1.3170888782387813e-07
1.01194173540031e-06,0.06934120928651716,0.06934107271872958,1.365677875786453e-07
1.012352912929052e-06,0.0717406527858762,0.07174051121400205,1.415718741543115e-07
1.012768534326869e-06,0.0741596743076329,0.07415952758576516,1.4672186773867502e-07
1.013188564146385e-06,0.076597880536826,0.07659772851835411,1.5201847188006656e-07
1.013612968185289e-06,0.07905488642700487,0.07905472896467913,1.5746232573388141e-07
1.014041713430814e-06,0.08153031484876148,0.0815301517947079,1.6305405357852631e-07
1.014474768002821e-06,0.08402379623208718,0.08402362743785385,1.6879423332671895e-07
