frequency_Hz,spectre_real,spectre_imag,derived_real,derived_imag,relative_error
1.0,-10100.0,4.14395,-10099.998302761564,4.143948510507773,1.6804348835687178e-07
1.039122303835169,-10100.0,4.30607,-10099.998167364118,4.306069265589035,1.8144912825385798e-07
1.07977516232771,-10100.0,4.47453,-10099.99802116532,4.474532551077371,1.959244077042652e-07
1.122018454301963,-10100.0,4.64959,-10099.997863303495,4.649586500516508,2.1155441545459497e-07
1.165914401179831,-10100.0,4.83149,-10099.997692848225,4.83148895490139,2.284309183233657e-07
1.211527658628588,-10100.0,5.02051,-10099.997508794864,5.020507842443244,2.4665409671287027e-07
1.258925411794167,-10100.0,5.21692,-10099.997310058621,5.216921573190392,2.6633091053325785e-07
1.308177474260194,-10100.0,5.42102,-10099.997095468172,5.421019449085784,2.8757745515154173e-07
1.359356390878525,-10100.0,5.6331,-10099.996863758748,5.633102090064976,3.1051905291390943e-07
1.412537544622754,-10100.0,5.85348,-10099.996613564675,5.8534818768218235,3.352907337925199e-07
1.467799267622069,-10100.0,6.08248,-10099.996343411345,6.082483410893725,3.620387036088424e-07
1.525222956539018,-10100.0,6.32044,-10099.996051706506,6.320443992743692,3.909204240340039e-07
1.584893192461112,-10100.0,6.56771,-10099.995736730885,6.567714118542981,4.22106138841569e-07
1.646897865482867,-10100.0,6.82466,-10099.995396628052,6.82465799638552,4.5577954766607703e-07
1.71132830416178,-10100.0,7.09165,-10099.995029393489,7.091654082693901,4.921395454166159e-07
1.778279410038921,-10100.0,7.3691,-10099.99463286276,7.369095639606431,5.314000431151888e-07
1.847849797422289,-10100.0,7.65739,-10099.99420469876,7.657391314165543,5.737923810756941e-07
1.9201419386388,-10100.0,7.95697,-10099.993742377947,7.956965740159802,6.195668750967196e-07
1.995262314968878,-10100.0,8.26826,-10099.993243175468,8.268260163505229,6.689927515181487e-07
2.073321573485953,-10100.0,8.59173,-10099.992704149083,8.591733092085928,7.223618022704247e-07
2.154434690031881,-10100.0,8.92786,-10099.992122121845,8.927860971010277,7.799882457521544e-07
2.238721138568337,-10100.0,9.27714,-10099.991493663363,9.277138884275827,8.422119094837087e-07
2.326305067153623,-10100.0,9.64008,-10099.990815069594,9.640081283875178,9.093994717843138e-07
2.417315480804101,-10100.0,10.0172,-10099.990082340997,10.017222747415104,9.819495000643682e-07
2.511886431509577,-10100.0,10.4091,-10099.98929115898,10.409118765363102,1.0602834781337226e-06
