frequency_Hz,spectre_real,spectre_imag,derived_real,derived_imag,relative_error
1.0,3000.0,-3.76991e-05,3000.0000000000105,-3.769911184307864e-05,5.26680535393206e-15
1.039122303835169,3000.0,-3.9174e-05,3000.0000000000114,-3.917398795091965e-05,5.521949214052637e-15
1.07977516232771,3000.0,-4.07066e-05,3000.0000000000123,-4.070656460997091e-05,1.2486471904482538e-14
1.122018454301963,3000.0,-4.22991e-05,3000.000000000013,-4.229909919872819e-05,4.4039976828198356e-15
1.165914401179831,3000.0,-4.39539e-05,3000.000000000014,-4.3953937409534935e-05,1.3325845590304625e-14
1.211527658628588,3000.0,-4.56735e-05,3000.000000000015,-4.5673516703622916e-05,7.484880613786447e-15
1.258925411794167,3000.0,-4.74604e-05,3000.0000000000164,-4.746036990132292e-05,1.1420920765875393e-14
1.308177474260194,3000.0,-4.93171e-05,3000.0000000000177,-4.9317128912732054e-05,1.1306249513741059e-14
1.359356390878525,3000.0,-5.12465e-05,3000.000000000019,-5.1246528614334356e-05,1.1467668468415457e-14
1.412537544622754,3000.0,-5.32514e-05,3000.0000000000205,-5.3251410877282287e-05,7.724962818885479e-15
1.467799267622069,3000.0,-5.53347e-05,3000.000000000022,-5.533472875327512e-05,1.203331885136514e-14
1.525222956539018,3000.0,-5.74996e-05,3000.000000000023,-5.749955082419764e-05,1.812344623543928e-14
1.584893192461112,3000.0,-5.97491e-05,3000.000000000026,-5.974906572192791e-05,1.432505062623287e-14
1.646897865482867,3000.0,-6.20866e-05,3000.0000000000277,-6.208658682496904e-05,1.0236461007259124e-14
1.71132830416178,3000.0,-6.45156e-05,3000.0000000000296,-6.451555713882447e-05,1.7355082156896773e-14
1.778279410038921,3000.0,-6.70396e-05,3000.0000000000327,-6.703955436730525e-05,1.8721256199069765e-14
1.847849797422289,3000.0,-6.96623e-05,3000.0000000000346,-6.966229618223772e-05,1.1590341349437255e-14
1.9201419386388,3000.0,-7.23876e-05,3000.0000000000377,-7.238764569933536e-05,1.9756970816063968e-14
1.995262314968878,3000.0,-7.52196e-05,3000.0000000000405,-7.521961716829803e-05,1.465444515559692e-14
2.073321573485953,3000.0,-7.81624e-05,3000.000000000043,-7.816238188552195e-05,1.5615023294384352e-14
2.154434690031881,3000.0,-8.12203e-05,3000.0000000000473,-8.122027433812852e-05,1.7935774383103392e-14
2.238721138568337,3000.0,-8.43978e-05,3000.000000000052,-8.439779858836164e-05,1.7286804643478876e-14
2.326305067153623,3000.0,-8.76996e-05,3000.0000000000555,-8.769963490775592e-05,2.1849206652609355e-14
2.417315480804101,3000.0,-9.11306e-05,3000.00000000006,-9.113064667085165e-05,2.534510064766759e-14
2.511886431509577,3000.0,-9.46959e-05,3000.000000000064,-9.469588751860547e-05,2.1774295878013766e-14
2.610157215682533,3000.0,-9.84006e-05,3000.000000000069,-9.840060880205068e-05,2.3226592313098783e-14
2.712272579332024,3000.0,-0.00010225,3000.0000000000755,-0.0001022502673171718,9.259044681532702e-14
2.818382931264449,3000.0,-0.000106251,3000.000000000081,-0.00010625053334238307,1.5787527744957732e-13
2.928644564625232,3000.0,-0.000110407,3000.0000000000873,-0.00011040729899045447,1.0382602349150994e-13
3.043219887107717,3000.0,-0.000114727,3000.0000000000946,-0.00011472668688718167,1.0902926340628326e-13
3.162277660168374,3000.0,-0.000119215,3000.0000000001023,-0.0001192150591895868,3.9401652267945625e-14
3.285993247600648,3000.0,-0.000123879,3000.0000000001105,-0.0001238790269569321,3.791470425107411e-14
3.414548873833595,3000.0,-0.000128725,3000.0000000001187,-0.0001287254598883496,1.5831908241906727e-13
3.548133892335747,3000.0,-0.000133761,3000.0000000001282,-0.00013376149644142696,1.709123453536199e-13
3.686945064519568,3000.0,-0.000138995,3000.0000000001382,-0.00013899455434665937,1.555342337728065e-13
3.83118684955728,3000.0,-0.000144432,3000.0000000001496,-0.00014443234153324776,1.242884966040825e-13
3.981071705534964,3000.0,-0.000150083,3000.0000000001614,-0.0001500828674823413,6.961983197453575e-14
4.136820402388498,3000.0,-0.000155954,3000.0000000001746,-0.0001559544550244445,1.6246039900199081e-13
4.298662347082267,3000.0,-0.000162056,3000.0000000001883,-0.0001620557525983651,1.0362937754896567e-13
4.466835921509621,3000.0,-0.000168396,3000.0000000002033,-0.00016839574698976266,1.0818385222782194e-13
4.641588833612769,3000.0,-0.000174984,3000.0000000002196,-0.0001749837765680542,1.0443757778527109e-13
4.823178482239296,3000.0,-0.00018183,3000.000000000237,-0.00018182954504118373,1.709841473074508e-13
5.011872336272711,3000.0,-0.000188943,3000.000000000256,-0.00018894313574850544,9.659497894744913e-14
5.207948328595451,3000.0,-0.000196335,3000.000000000277,-0.00019633502651283935,9.273577988685164e-14
5.411695265464624,3000.0,-0.000204016,3000.0000000002988,-0.00020401610507357276,1.0556902783813859e-13
5.623413251903477,3000.0,-0.000211998,3000.000000000322,-0.00021199768512354309,1.501133456056808e-13
5.843414133735161,3000.0,-0.000220292,3000.000000000348,-0.00022029152297331432,1.9680112701307218e-13
6.072021956909869,3000.0,-0.00022891,3000.0000000003756,-0.000228909834867406,1.3677237517871089e-13
6.309573444801915,3000.0,-0.000237865,3000.0000000004056,-0.0002378653149779675,1.7118884268639693e-13
6.55641849417977,3000.0,-0.000247171,3000.0000000004384,-0.0002471711541024057,1.5489116611770213e-13
6.812920690579593,3000.0,-0.000256841,3000.0000000004725,-0.00025684105909251403,1.5872115161340964e-13
7.079457843841358,3000.0,-0.000266889,3000.00000000051,-0.000266889273043706,1.928972020228015e-13
7.356422544596391,3000.0,-0.000277331,3000.000000000551,-0.00027733059627410074,2.2773403131800217e-13
7.644222742525979,3000.0,-0.00028818,3000.000000000595,-0.00028818040812436,2.4045417121600013e-13
7.943282347242791,3000.0,-0.000299455,3000.000000000643,-0.00029945468961038344,2.3800259477533816e-13
8.254041852680158,3000.0,-0.00031117,3000.0000000006935,-0.00031117004696223146,2.316926674141319e-13
8.576958985908913,3000.0,-0.000323344,3000.0000000007494,-0.0003233437360839415,2.648453363170526e-13
8.912509381337426,3000.0,-0.000335994,3000.0000000008095,-0.0003359936879702718,2.8916975300306313e-13
9.261187281287903,3000.0,-0.000349139,3000.000000000874,-0.0003491385351178069,3.299889088909273e-13
9.623506263980852,3000.0,-0.000362798,3000.0000000009436,-0.0003627976389693214,3.367698739701537e-13
9.999999999999964,3000.0,-0.000376991,3000.000000001018,-0.00037699111843183955,3.4168133716625643e-13
10.39122303835165,3000.0,-0.00039174,3000.0000000011,-0.0003917398795103786,3.688709804500346e-13
10.79775162327706,3000.0,-0.000407066,3000.000000001188,-0.0004070656461010349,4.131334878118604e-13
