frequency_Hz,spectre_real,spectre_imag,derived_real,derived_imag,relative_error
1.0,-10100.0,0.970941,-10099.999906660823,0.9709406165455111,9.241580661373924e-09
1.039122303835169,-10100.0,1.00893,-10099.999899214674,1.0089260496080876,9.986407615064989e-09
1.07977516232771,-10100.0,1.0484,-10099.999891174508,1.0483975602334896,1.077750870645514e-08
1.122018454301963,-10100.0,1.08941,-10099.999882492939,1.089413287188576,1.1638913992058404e-08
1.165914401179831,-10100.0,1.13203,-10099.999873118793,1.1320336437613596,1.2567674969549067e-08
1.211527658628588,-10100.0,1.17632,-10099.999862996823,1.176321406745345,1.356538612008385e-08
1.258925411794167,-10100.0,1.22234,-10099.999852067374,1.2223418089051254,1.4647889687845862e-08
1.308177474260194,-10100.0,1.27016,-10099.999840266026,1.27016263505942,1.58173969003654e-08
1.359356390878525,-10100.0,1.31985,-10099.999827523221,1.319854321923081,1.7082269437663585e-08
1.412537544622754,-10100.0,1.37149,-10099.999813763858,1.3714900618551182,1.843922319955034e-08
1.467799267622069,-10100.0,1.42515,-10099.99979890684,1.4251459106655504,1.9914330432273208e-08
1.525222956539018,-10100.0,1.4809,-10099.999782864601,1.4809008996398825,2.1498739111613127e-08
1.584893192461112,-10100.0,1.53884,-10099.999765542589,1.5388371519461845,2.3215317989667672e-08
1.646897865482867,-10100.0,1.59904,-10099.999746838712,1.5990400035962575,2.506547438879349e-08
1.71132830416178,-10100.0,1.6616,-10099.999726642729,1.661598129139005,2.706571056656503e-08
1.778279410038921,-10100.0,1.7266,-10099.99970483561,1.726603672271183,2.922645908705626e-08
1.847849797422289,-10100.0,1.79415,-10099.999681288824,1.794152381557871,3.1556443468870086e-08
1.9201419386388,-10100.0,1.86434,-10099.999655863588,1.8643437514625647,3.407493705819176e-08
1.995262314968878,-10100.0,1.93728,-10099.999628410053,1.9372811688946192,3.679126661037553e-08
2.073321573485953,-10100.0,2.01307,-10099.999598766404,2.0130720654898693,3.9726625754075904e-08
2.154434690031881,-10100.0,2.09183,-10099.99956675793,2.091828075848726,4.289567846339355e-08
2.238721138568337,-10100.0,2.17367,-10099.999532195976,2.1736652019647877,4.631966730803889e-08
2.326305067153623,-10100.0,2.2587,-10099.999494876836,2.2587039840861567,5.001375129583713e-08
2.417315480804101,-10100.0,2.34707,-10099.999454580555,2.347069678261106,5.400193611991495e-08
2.511886431509577,-10100.0,2.43889,-10099.999411069633,2.438892440829571,5.8310439777129755e-08
2.610157215682533,-10100.0,2.53431,-10099.999364087622,2.5343075201322027,6.296210232683586e-08
2.712272579332024,-10100.0,2.63346,-10099.999313357612,2.633455455719318,6.798588601148577e-08
2.818382931264449,-10100.0,2.73648,-10099.999258580609,2.736482285353134,7.340821196855579e-08
2.928644564625232,-10100.0,2.84354,-10099.999199433762,2.843539760108157,7.926399070670684e-08
3.043219887107717,-10100.0,2.95479,-10099.999135568463,2.9547855678865047,8.558840948199515e-08
3.162277660168374,-10100.0,3.07038,-10099.999066608305,3.0703835656773557,9.241569790604872e-08
3.285993247600648,-10100.0,3.1905,-10099.998992146839,3.190504020902548,9.97882408364521e-08
3.414548873833595,-10100.0,3.31532,-10099.998911745197,3.3153238622037935,1.0774868467065165e-07
3.548133892335747,-10100.0,3.44503,-10099.998824929504,3.445026940040794,1.1634401472168108e-07
3.686945064519568,-10100.0,3.5798,-10099.998731188076,3.5798042974840665,1.2562567144442528e-07
3.83118684955728,-10100.0,3.71985,-10099.998629968413,3.71985445160123,1.3564741701279835e-07
