time_s,spectre,derived_finite_rise_step,absolute_error
1.014912101102797e-06,0.08661218835908563,0.08661201823586939,1.701232162365507e-07
1.015353682967025e-06,0.08914534738856664,0.08914517144978296,1.7593878368082905e-07
1.015799484821091e-06,0.09169566626464898,0.09169548436525499,1.818993939917135e-07
1.016249478836778e-06,0.09426280522809649,0.09426261722261131,1.8800548517994287e-07
1.0167036380956e-06,0.09684643064563339,0.0968462363881426,1.9425749078760823e-07
1.017161936546512e-06,0.0994462147465379,0.09944601409075415,2.0065578375250137e-07
1.017624348975882e-06,0.1020618354305225,0.10206162822980336,2.0720071913782334e-07
1.018090850972114e-06,0.1046929760463162,0.10469276215368883,2.1389262735982406e-07
1.018561418893663e-06,0.1073393251907894,0.10733910445900263,2.207317867652936e-07
1.019036029841308e-06,0.1100005765333048,0.11000034881483278,2.2771847202340822e-07
1.019514661629913e-06,0.112676428638109,0.11267619378520721,2.3485290179259266e-07
1.019997292763494e-06,0.1153665848063545,0.11536634267107027,2.42135284239664e-07
1.020483902406056e-06,0.1180707528955119,0.11807050332971925,2.4956579265655865e-07
1.020974470362569e-06,0.120788645196307,0.12078838805173975,2.571445672505668e-07
1.021468977054227e-06,0.1235199782786346,0.12351971340691015,2.648717244563281e-07
1.021967403498424e-06,0.1262644728645406,0.12626420011718698,2.7274735361904057e-07
1.022469731287742e-06,0.1290218536965143,0.1290215729250055,2.807715088204432e-07
1.022975942571779e-06,0.1317918494222471,0.13179156047801988,2.8894422721137403e-07
1.023486020038691e-06,0.1345741924784721,0.13457389521295726,2.972655148425485e-07
1.02399994689686e-06,0.13736861897629,0.13736831324094168,3.0573534831601634e-07
1.024517706859626e-06,0.1401748686038897,0.14017455425020764,3.1435368205712244e-07
1.025039284128706e-06,0.1429926845227359,0.142992361402296,3.231204399045673e-07
1.025564663380816e-06,0.1458218132817414,0.14582148124620953,3.3203553187477475e-07
1.026093829750887e-06,0.1486620047135994,0.14866166361477173,3.410988276553173e-07
1.026626768823102e-06,0.1515130118738097,0.15151266156362442,3.5031018527642566e-07
1.027163466612025e-06,0.1543745909269762,0.15437423125755356,3.596694226337682e-07
1.027703909551832e-06,0.1572465010773262,0.15724613190097392,3.6917635229394286e-07
1.02824808448942e-06,0.1601285045200136,0.16012812568926205,3.788307515462108e-07
1.028795978666466e-06,0.1630203663342073,0.1630199777018343,3.8863237300512665e-07
1.029347579712089e-06,0.1659218544330388,0.1659214558520854,3.9858095340905564e-07
1.029902875632581e-06,0.1688327394982844,0.16883233082208304,4.086762013522094e-07
1.030461854800105e-06,0.1717527949100835,0.17175237599228654,4.1891779695157894e-07
1.031024505943096e-06,0.1746817966861128,0.17468136738069906,4.293054137460839e-07
1.031590818138712e-06,0.1776195234317405,0.1776190835930458,4.398386947157551e-07
1.032160780803977e-06,0.1805657562836675,0.18056530576641938,4.5051724811839833e-07
1.032734383682665e-06,0.183520278832098,0.1835198174914101,4.6134068790171234e-07
1.033311616846979e-06,0.1864828771195006,0.18648240481092215,4.7230857844193785e-07
1.033892470681129e-06,0.1894533395463351,0.18945285612584617,4.834204889170302e-07
1.034476935875266e-06,0.1924314568306591,0.19243096215471367,4.946759454282912e-07
1.035065003424045e-06,0.1954170219914365,0.19541651591696918,5.06074467332418e-07
1.035656664611507e-06,0.1984098302623801,0.19840931264683714,5.176155429553742e-07
1.036251911010383e-06,0.2014096790796282,0.20140914978096747,5.292986607341454e-07
1.036850734475756e-06,0.2044163680406752,0.20441582691741478,5.411232604224381e-07
1.037453127134472e-06,0.2074296988424712,0.20742914575368065,5.530887905447202e-07
1.038059081383403e-06,0.2104494752642025,0.21044891006954536,5.651946571316735e-07
1.03866858988157e-06,0.2134755031195294,0.21347492567926607,5.774402633274001e-07
1.039281645547122e-06,0.2165075902332299,0.21650700040824844,5.898249814673129e-07
1.039898241550668e-06,0.2195455463999179,0.2195449440517394,6.023481785022433e-07
1.040518371309821e-06,0.2225891833490408,0.22258856833984964,6.150091911572009e-07
1.041142028482637e-06,0.2256383147047955,0.22563768689744823,6.278073472754109e-07
1.041769206970238e-06,0.2286927559910561,0.22869211524910737,6.407419487208799e-07
1.042399900902548e-06,0.2317523245539264,0.23175167074164937,6.538122770127774e-07
1.043034104639389e-06,0.2348168395597019,0.23481617254208476,6.670176171397202e-07
1.04367181276753e-06,0.2378861219728811,0.23788544161567382,6.803572072666686e-07
1.044313020093954e-06,0.240959994516225,0.24095930068593308,6.9383029191461e-07
1.044957721641323e-06,0.2440382816416883,0.24403757420560224,7.074360860725992e-07
1.045605912646313e-06,0.2471208095152701,0.2471200883414736,7.211737965140408e-07
1.046257588553965e-06,0.2502074059829169,0.25020667094030535,7.350426115548814e-07
1.046912745019405e-06,0.2532979005715224,0.25329715152982923,7.490416931710264e-07
1.047571377897586e-06,0.2563921244333333,0.25639136126313655,7.6317019676031e-07
1.048233483242197e-06,0.259489910334081,0.2594891329068124,7.77427268561226e-07
1.048899057304385e-06,0.2625910926401143,0.2625903008280903,7.918120240035798e-07
1.049568096531875e-06,0.2656955073073442,0.26569470098376946,8.06323574742418e-07
1.050240597556688e-06,0.2688029918174449,0.2688021708564343,8.20961010561394e-07
1.050916557204813e-06,0.2719133852161141,0.27191254949269705,8.357234170253136e-07
1.051595972481348e-06,0.2750265280377825,0.27502567742793915,8.506098433391784e-07
1.052278840578301e-06,0.2781422623351054,0.2781413967157521,8.65619353307423e-07
1.052965158865766e-06,0.2812604316318858,0.2812595508809147,8.807509710995198e-07
1.05365492489137e-06,0.2843808809142443,0.2843799849105273,8.960037169991608e-07
1.054348136375402e-06,0.2875034566022485,0.28750254522564245,9.113766060719897e-07
1.055044791215734e-06,0.2906280065657147,0.2906270796970939,9.268686207986043e-07
1.055744887475281e-06,0.2937543800615343,0.2937534375827847,9.424787495992959e-07
1.056448423389003e-06,0.2968824277589189,0.2968814695529711,9.582059477541982e-07
1.057155397358798e-06,0.3000120017102583,0.3000110276610799,9.740491784260286e-07
1.05786580794659e-06,0.3031429553144146,0.3031419653070391,9.900073755231276e-07
1.058579653879637e-06,0.3062751433342242,0.30627413725475483,1.006079469345611e-06
1.059296934044398e-06,0.3094084218633398,0.3094073995989708,1.0222643689883348e-06
1.060017647489621e-06,0.3125426483336944,0.31254160977270795,1.038560986432735e-06
1.060741793414871e-06,0.3156776814595167,0.3156766264913141,1.0549682025740026e-06
1.061469371181797e-06,0.3188133812804116,0.3188123097955128,1.0714848988069292e-06
1.062200380302884e-06,0.3219496091065633,0.3219485209966191,1.0881099442028308e-06
1.062934820439353e-06,0.3250862275041346,0.32508512266194434,1.1048421902359884e-06
1.0636726914087e-06,0.3282231003216829,0.32822197864120095,1.1216804819413895e-06
1.0644139931741e-06,0.3313600926389986,0.33135895401534854,1.1386236500876556e-06
1.065158725847115e-06,0.3344970707729985,0.33449591510248555,1.1556705129533995e-06
1.065906889687039e-06,0.337633902269129,0.33763272944924205,1.1728198869298545e-06
1.066658485101298e-06,0.3407704558971192,0.340769265826547,1.190070572198998e-06
1.067413512634684e-06,0.3439066016003245,0.3439053941789739,1.207421350568616e-06
1.06817197297837e-06,0.3470422105278381,0.3470409856568375,1.2248710006268482e-06
1.068933866964661e-06,0.350177155006889,0.3501759125885905,1.2424182985193433e-06
1.069699195568187e-06,0.3533113085420665,0.3533100484800691,1.2600619974101335e-06
1.070467959903287e-06,0.3564445457988623,0.3564432679980163,1.2778008460223589e-06
1.071240161215681e-06,0.3595767425643128,0.35957544693072463,1.2956335881941783e-06
1.072015800898608e-06,0.3627077758070372,0.36270646224809533,1.313558941895554e-06
1.072794880477027e-06,0.3658375236073822,0.36583619203174245,1.3315756397513923e-06
1.073577401612144e-06,0.3689658651703226,0.3689645154879376,1.3496823849656892e-06
1.074363366099306e-06,0.3720926808115093,0.37209131293362674,1.3678778825743088e-06
1.075152775869783e-06,0.3752178519588071,0.37521646579798107,1.3861608260112845e-06
1.07594563298492e-06,0.3783412611235917,0.3783398565936945,1.4045298971643305e-06
1.076741939640156e-06,0.3814627919112499,0.3814613689274762,1.4229837737023132e-06
1.077541698163792e-06,0.3845823290107209,0.3845808874895934,1.4415211275209394e-06
1.078344911015531e-06,0.3876997581832171,0.38769829804260936,1.460140607756344e-06
1.079151580783284e-06,0.3908149662444397,0.3908134874035629,1.4788408767563155e-06
1.079961710185308e-06,0.3939278410674742,0.393926343446902,1.4976205721661806e-06
1.080775302068959e-06,0.3970382715725425,0.39703675509421077,1.516478331742288e-06
1.081592359411869e-06,0.4001461477260122,0.4001446123132294,1.5354127828048902e-06
1.08241288531783e-06,0.4032513605192666,0.40324980609671446,1.554422552119128e-06
1.083236883020243e-06,0.4063538019763894,0.4063522284701444,1.5735062449673265e-06
1.084064355877703e-06,0.4094533651320768,0.40945177246960085,1.5926624759576846e-06
1.084895307374733e-06,0.412549944029102,0.41254833213926323,1.611889838770697e-06
1.085729741126592e-06,0.4156434337307801,0.4156418025438462,1.63118693391473e-06
1.086567660869749e-06,0.418733730280063,0.41873207972772164,1.650552341359024e-06
1.087409070467035e-06,0.4218207307134622,0.4218190607288167,1.6699846455137113e-06
1.088253973909301e-06,0.4249043330615911,0.4249026435791685,1.689482422573274e-06
1.089102375308488e-06,0.4279844363184045,0.42798272727416853,1.7090442359646296e-06
1.089954278907666e-06,0.431060940472341,0.4310592118036892,1.7286686517792305e-06
1.090809689065916e-06,0.4341337464461361,0.4341319980919133,1.748354222841364e-06
1.091668610269174e-06,0.4372027561308915,0.4372009880313862,1.7680995053059867e-06
1.092531047129519e-06,0.4402678723778831,0.44026608447484417,1.7879030389522654e-06
1.093397004382506e-06,0.443328998983587,0.4433271912202208,1.8077633662239023e-06
1.094266486885499e-06,0.4463860406784599,0.44638421299943987,1.8276790200166815e-06
1.095139499622286e-06,0.4494389031378316,0.4494370554892967,1.8476485348917215e-06
1.096016047695433e-06,0.4524874929497046,0.4524856252792736,1.8676704309772418e-06
1.096896136333402e-06,0.4555317176343682,0.45552982989114,1.8877432282349282e-06
1.097779770889736e-06,0.4585714856359684,0.45856957777052265,1.907865445738288e-06
1.098666956837444e-06,0.4616067062977695,0.4616047782621773,1.928035592235755e-06
1.099557699772923e-06,0.4646372898704382,0.4646353416182598,1.9482521783631412e-06
1.100452005417875e-06,0.4676631475130718,0.4676611789993719,1.968513699934782e-06
1.101349879617408e-06,0.47068419128125,0.47068220246259185,1.9888186581495937e-06
1.102251328336051e-06,0.4737003341083058,0.47369832494275377,2.0091655520415586e-06
1.103156357665769e-06,0.4767114898268547,0.4767094602739901,2.0295528646019356e-06
1.104064973818901e-06,0.4797175731397269,0.4797155231606377,2.0499790892025693e-06
1.104977183131623e-06,0.4827184996261706,0.4827164291834618,2.0704427087792077e-06
1.105892992064935e-06,0.4857141857396238,0.48571209479742317,2.0909422006609724e-06
1.106812407203569e-06,0.4887045487986424,0.4887024373225959,2.111476046506855e-06
1.107735435254528e-06,0.4916895069767512,0.49168737493403214,2.1320427190385516e-06
1.108662083049577e-06,0.4946689793051484,0.49466682666446204,2.152640686370333e-06
1.109592357543567e-06,0.4976428856618691,0.4976407123934491,2.1732684200026497e-06
1.110526265816193e-06,0.5006111467720105,0.5006089528476234,2.193924387050572e-06
